Date,PnL,NAV
2016-07-14,1115.94,1127350.23
2016-07-15,-993.46,1126356.77
2016-07-18,683.33,1127040.0999999999
2016-07-19,650.78,1127690.88
2016-07-20,608.03,1128298.91
2016-07-21,-36.84,1128262.0699999998
2016-07-22,-1495.15,1126766.92
2016-07-24,420.31,1127187.23
2016-07-25,-1402.28,1125784.95
2016-07-26,1349.93,1127134.88
2016-07-27,504.44,1127639.3199999998
2016-07-28,-474.21,1127165.1099999999
2016-07-29,80.3,1127245.41
2016-07-31,600.84,1127846.25
2016-08-01,-1456.16,1126390.0899999999
2016-08-02,-846.89,1125543.2
2016-08-03,484.47,1126027.67
2016-08-04,-840.25,1125187.42
2016-08-05,0.0,1125187.42
2016-08-06,2788.22,1127975.64
2016-08-07,-242.79,1127732.8499999999
2016-08-08,861.57,1128594.42
2016-08-09,-6797.35,1121797.0699999998
2016-08-11,5742.64,1127539.71
2016-08-12,-654.47,1126885.24
2016-08-14,436.23,1127321.47
2016-08-15,5078.32,1132399.79
2016-08-16,2359.24,1134759.0299999998
2016-08-17,2680.59,1137439.6199999999
2016-08-18,164.61,1137604.23
2016-08-19,-2585.02,1135019.21
2016-08-22,1426.19,1136445.4
2016-08-23,138.73,1136584.13
2016-08-24,921.5,1137505.63
2016-08-25,918.24,1138423.8699999999
2016-08-26,4251.4,1142675.27
2016-08-29,101.56,1142776.8299999998
2016-08-30,333.08,1143109.91
2016-08-31,1380.87,1144490.7799999998
2016-09-02,2913.63,1147404.41
2016-09-03,3032.87,1150437.2799999998
2016-09-05,-78.18,1150359.0999999999
2016-09-06,-1405.75,1148953.3499999999
2016-09-08,851.58,1149804.93
2016-09-11,8156.65,1157961.5799999998
2016-09-12,2640.43,1160602.0099999998
2016-09-13,1110.13,1161712.14
2016-09-14,343.74,1162055.88
2016-09-15,-2167.2,1159888.68
2016-09-16,-4936.75,1154951.93
2016-09-18,-100.26,1154851.67
2016-09-19,1241.97,1156093.64
2016-09-20,1422.14,1157515.7799999998
2016-09-21,3602.31,1161118.0899999999
2016-09-22,-1144.45,1159973.64
2016-09-23,466.81,1160440.4499999997
2016-09-25,0.0,1160440.4499999997
2016-09-26,1097.47,1161537.92
2016-09-27,498.97,1162036.89
2016-09-28,-2.11,1162034.7799999998
2016-09-29,613.89,1162648.67
2016-09-30,-1259.52,1161389.15
2016-10-01,3225.07,1164614.22
2016-10-02,5113.37,1169727.5899999999
2016-10-03,1912.88,1171640.47
2016-10-05,883.07,1172523.5399999998
2016-10-06,-6.27,1172517.27
2016-10-08,552.91,1173070.18
2016-10-10,-3991.05,1169079.13
2016-10-11,496.27,1169575.4
2016-10-13,-3118.52,1166456.88
2016-10-17,30.61,1166487.49
2016-10-18,1967.0,1168454.49
2016-10-19,378.38,1168832.8699999999
2016-10-20,2098.3,1170931.17
2016-10-21,217.16,1171148.3299999998
2016-10-24,414.5,1171562.8299999998
2016-10-25,3602.2,1175165.0299999998
2016-10-26,-496.53,1174668.5
2016-10-27,-118.35,1174550.15
2016-10-28,-186.66,1174363.49
2016-10-31,-3768.02,1170595.47
2016-11-01,608.67,1171204.14
2016-11-02,9775.43,1180979.5699999998
2016-11-04,-1235.71,1179743.8599999999
2016-11-07,3695.24,1183439.0999999999
2016-11-08,-586.07,1182853.0299999998
2016-11-10,4318.09,1187171.1199999999
2016-11-11,-1898.39,1185272.73
2016-11-12,348.78,1185621.5099999998
2016-11-14,1213.98,1186835.49
2016-11-15,-1484.26,1185351.23
2016-11-16,-213.79,1185137.44
2016-11-17,-180.3,1184957.14
2016-11-18,178.68,1185135.8199999998
2016-11-21,-1657.97,1183477.8499999999
2016-11-22,1852.64,1185330.49
2016-11-23,1628.79,1186959.2799999998
2016-11-24,370.82,1187330.0999999999
2016-11-25,377.61,1187707.71
2016-11-27,-342.03,1187365.68
2016-11-28,59.07,1187424.75
2016-11-29,319.0,1187743.75
2016-11-30,-1163.43,1186580.3199999998
2016-12-01,1614.76,1188195.0799999998
2016-12-02,1118.6,1189313.68
2016-12-04,-2302.21,1187011.47
2016-12-05,-154.39,1186857.0799999998
2016-12-06,19.24,1186876.3199999998
2016-12-07,1882.86,1188759.18
2016-12-08,1749.32,1190508.5
2016-12-09,694.79,1191203.29
2016-12-10,2728.52,1193931.8099999998
2016-12-12,-110.09,1193821.72
2016-12-13,1014.63,1194836.3499999999
2016-12-14,-336.72,1194499.63
2016-12-15,-1642.21,1192857.42
2016-12-16,-1073.57,1191783.8499999999
2016-12-18,303.17,1192087.02
2016-12-19,-192.99,1191894.03
2016-12-20,731.31,1192625.3399999999
2016-12-21,584.39,1193209.73
2016-12-22,-1555.04,1191654.69
2016-12-23,-2012.85,1189641.8399999999
2016-12-27,1267.19,1190909.03
2016-12-28,1571.1,1192480.13
2016-12-29,1862.83,1194342.96
2016-12-30,-322.57,1194020.39
2017-01-02,447.93,1194468.3199999998
2017-01-03,-1573.09,1192895.23
2017-01-05,2989.3,1195884.5299999998
2017-01-06,-1100.02,1194784.51
2017-01-08,0.0,1194784.51
2017-01-09,481.56,1195266.0699999998
2017-01-11,3969.66,1199235.73
2017-01-12,-2424.72,1196811.01
2017-01-13,1842.53,1198653.54
2017-01-15,4190.16,1202843.7
2017-01-16,-1882.24,1200961.46
2017-01-17,-2771.76,1198189.7
2017-01-18,86.07,1198275.77
2017-01-19,3045.33,1201321.0999999999
2017-01-20,-225.21,1201095.89
2017-01-22,449.12,1201545.01
